Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
170 - 2018;16/04/2018;AQUISIÇÃO DE RECARGA DE EXTINTOR PARA O GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS IXIGÊNCIAS DOS BOMBEIROS.;GABINETE DO PREFEITO;NELSO DE FREITAS - ME;;1.210,00;;Compra Comum;;
169 - 2018;16/04/2018;AQUISIÇÃO DE BATERIA PARA A CENTRAL DE ALARME DO GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS IXIGÊNCIAS DOS BOMBEIROS.;GABINETE DO PREFEITO;COMERCIAL WG IMPORT EQUIP. DE SEG. E INCENDIO LTDA;;125,50;;Compra Comum;;
168 - 2018;16/04/2018;PRESTAÇÃO DE SERVIÇO REVISÃO DA CENTRAL DE ALARME DO GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTOS NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;GABINETE DO PREFEITO;COMERCIAL WG IMPORT EQUIP. DE SEG. E INCENDIO LTDA;;350,00;;Compra Comum;;
167 - 2018;16/04/2018;AQUISIÇÃO DE MATERIAL PARA FIXAR AS PLACAS DE SINALIZAÇÃO DE EMERGÊNCIA DO GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;HIDRO`ART MATERIAIS PARA CONSTRUÇÃO.;;28,21;;Compra Comum;;
166 - 2018;13/04/2018;AQUISIÇÃO DE SACOS DE LIXO DESTINADOS PARA A REALIZAÇÃO DA LIMPEZA NA AREA CENTRAL NA CIDADE, DURANTE O EVENTO 36º ENCONTRO DOS GIDEOES MISSIONARIOS DA ULTIMA HORA, QUE ACONTECERA NO MUNICIPIO DE CAMBORIU NO PERIODO DE 21 A 30 DE ABRIL DE 2018.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;AVPLAS COMERCIO ATACADISTA DE PLASTICOS RECICLADOS;;906,60;;Compra Comum;;
165 - 2018;13/04/2018;AQUISIÇÃO DE MADEIRAS DIVERSAS DESTINADAS PARA CONFECÇÃO DE ESCADA NO PALCO DO GINASIO IRINEU BORNHAUSEN , ONDE SERÁ REALIZADO O EVENTO 36º ENCONTRO DO GIDEOES MISSIONARIOS DA ULTIMA HORA, QUE ACONTECERÁ NO MUNICIPIO DE CAMBORIU NO PERIODO DE 21 A 30 DE ABRIL DE 2018.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;RICARDO DOS ANJOS;;1.047,50;;Compra Comum;;
164 - 2018;13/04/2018;AQUISIÇÃO DE MATERIAL SINALIZADOR DESTINADOS PARA ORIENTAÇÃO DO TRÂNSITO NA ÁREA CENTRAL DA CIDADE, DURANTE O EVENTO DO 36º ENCONTRO DO GIDEOES MISSIONARIOS DA ULTIMA HORA QUE ACONTECERÁ NO MUNICIPIO DE CAMBORIU NO PERIODO DE 21 A 30 DE ABRIL DE 2018.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SHEILA RAFAELA DO NASCIMENTO 07508724976;;720,00;;Compra Comum;;
163 - 2018;12/04/2018;AQUISIÇÃO DE MATERIAL SINALIZADOR DESTINADOS PARA ORIENTAÇÃO DO TRÂNSITO NA ÁREA CENTRAL DA CIDADE, DURANTE O EVENTO DO 36º ENCONTRO DO GIDÕES MISSIONARIOS DA ULTIMA HORA QUE ACONTECERÁ NO MUNICIPIO DE CAMBORIU NO PERIODO DE 21 A 30 DE ABRIL DE 2018.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;ZEUS DO BRASIL LTDA.;;497,90;;Compra Comum;;
162 - 2018;12/04/2018;LOCAÇÃO DE SERVIÇO MÓVEL ESPECIALIZADO, TAMBÉM CONHECIDO COMO TRUNKING OU SISTEMA TRONCALIZADO, UTILIZADO PELA POLICIA MILITAR, EM RAZÃO DA ATIVIDADE ESPECIFICA. O SERVIÇO COMPREENDE A HABILITAÇÃO DE 16(DEZESSEIS) RÁDIOS PORTÁTEIS KENWWOD MODELO TK480 DE PM/SC SERÃO UTILIZADOS DURANTE O EVENTO 36º GIDEOES MISSIONARIOS EM CAMBORIÚ.;SECRETARIA DE ADMINISTRAÇÃO;SMEPR COMUNICACOES LTDA;;663,20;;Compra Comum;;
161 - 2018;12/04/2018;HOSPEDAGEM PARA A SERVIDORA GÉSSICA MAYRA DECKER EM BRASILIA, PARA REALIZAR UM TREINAMENTO NO SISTEMA SICONV.;SECRETARIA DE ADMINISTRAÇÃO;HOTEL PHENICIA LTDA;;737,89;;Compra Comum;;
160 - 2018;10/04/2018;EMERGÊNCIA DO GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;PNS MATERIAIS ELÉTRICOS LTDA;;10,76;;Compra Comum;;
158 - 2018;10/04/2018;AQUISIÇÃO DE MATERIAL PARA SINALIZAÇÃO DE EMERGÊNCIA DO GINÁSIO IRINEU BORNAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;ZEUS DO BRASIL LTDA.;;934,70;;Compra Comum;;
157 - 2018;10/04/2018;AQUISIÇÃO DE MATERIAL PARA SINALIZAÇÃO DE EMERGÊNCIA DO GINÁSIO DE ESPORTES IRINEU BORNAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;BELING & SOUZA LTDA - INSTALADORA PALESTINA;;254,00;;Compra Comum;;
156 - 2018;10/04/2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REPRODUÇÃO PARA ESTA SECRETARIA.;SECRETARIA DE FINANÇAS;SANTOS E PEREIRA LTDA - ME;;312,00;;Compra Comum;;
155 - 2018;09/04/2018;AQUISIÇÃO DE MATERIAIS PARA SUBSTITUIÇÃO DE PLACA SINALIZADORA DA DELEGACIA DE POLÍCIA DE CAMORIU/MONTE ALEGRE, JA DETERIORADA PELO TEMPO. A COMPRA ESTÁ SENDO REALIZADA PELO MENOR VALOR GLOBAL, TENDO EM VISTA QUE SE TRATA DE UMA ÚNICA PLACA.;SECRETARIA DE ADMINISTRAÇÃO;MEGA IMPRESSOES BRASIL LTDA;;2.280,60;;Compra Comum;;
154 - 2018;09/04/2018;AQUISIÇÃO DE BOBINA E BOCAL EM EMPRESA ESPECIALIZADA NA FABRICAÇÃO E FORNECIMENTO DE PEÇAS E SERVIÇOS PARA ETILÔMETRO (BAFÔMETRO) BAF 300 DE PROPRIEDADE DA POLICIA MILITAR, CONFORME ART. 25, I, LEI 8666/90. ENCONTRADA APENAS UMA  EMPRESA PARA TAL FIM, CONFORME ORÇAMENTO EM ANEXO. O REFERIDO EQUIPAMENTO É DE USO OBRIGATÓRIO PARA A CONSTATAÇÃO DE INFRAÇÕES RELACIONADAS Á CONDUÇÃO DE VEÍCULO DOB EFEITO DE ÁLCOOL, DE CARÁTER INQUESTIONÁVEL, PARA SER EMPREGADO PELA 1º12º BPM, COM SEDE EM CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;ELEC INDÚSTRIA COM.EQUIPAMENTOS MEDIÇÃO LTDA-EPP;;665,00;;Compra Comum;;
153 - 2018;09/04/2018;CONSERTO DE UM FORNO MICROONDAS PERTENCENTE A SECRETARIA DE AGRICULTURA, SENDO QUE O MESMO SE ENCONTRA DANIFICADO.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;T M DA SILVA ARAUJO - ME;;98,00;;Compra Comum;;
152 - 2018;09/04/2018;AQUISIÇÃO DE TAMPA DE FERRO, DESTINADA PARA COBERTURA DE UMA CAIXA DE INSPEÇÃO NO PARQUE DA BICA, NESTE MUNICÍPIO.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;NATAN LUIZ CERATTI - ME;;1.200,00;;Compra Comum;;
151 - 2018;09/04/2018;TESTE TOXICOLÓGICO COM COLETA PARA RENOVAÇÃO DA CARTEIRA DE MOTORISTA DOS CONDUTORES DE VEÍCULOS DE EMERGÊNCIA DE CORPO DE BOMBEIROS MILITARES DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;LABORATÓRIO DE ANÁLISES CLÍNICAS BIODIAGNÓSTICO LT;;1.225,00;;Compra Comum;;
150 - 2018;09/04/2018;AQUISIÇÃO DE SACOS DE LIXO  REFORÇADOS QUE SERÁ UTILIZADOS NA LIMPEZA DAS PRAÇAS E ÁREAS PÚBLICAS DE CAMBORIU, SERVIÇO ESSE REALIZADO PELOS FUNCIONÁRIOS DA SECRETARIA DE AGRICULTURA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;SAULO GARCIA ME - MERCADO BOM PREÇO;;315,00;;Compra Comum;;
149 - 2018;04/04/2018;AQUISIÇÃO DE UM RELÓGIO PARA CONTROLE PONTO COM RECONHECIMENTO BIOMÉTRICO PARA O PAÇO MUNICIPAL PARA O CONTROLE DA FREQUÊNCIA DOS SERVIDORES MUNICIPAIS, VISTO QUE O ATUAL ESTÁ DANIFICADO E NÃO POSSUI CONSERTO.;SECRETARIA DE ADMINISTRAÇÃO;TIME TEC CONTROLE DE PONTO/ACESSO LTDA - ME;;2.100,00;;Compra Comum;;
148 - 2018;03/04/2018;SERVIÇO DE DESLOCAMENTO TÉCNICO E CONSERTO DE RAMAL TELEFÔNICO;CONTROLADORIA;CESAR PEREIRA -ME;;120,00;;Compra Comum;;
147 - 2018;03/04/2018;AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA SAT DO CORPO DE BOMBEIROS MILITAR DE ESTADO DE SANTA CATARINA DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;AIRTON PADILHA PEREIRA ME;;200,00;;Compra Comum;;
146 - 2018;03/04/2018;AQUISIÇÃO DE MATERIAL PARA LIMPEZA E CONSERVAÇÃO DAS INSTALAÇÕES FÍSICAS DA 1ª CIA DE POLICIA MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;468,60;;Compra Comum;;
145 - 2018;03/04/2018;AQUISIÇÃO DE MATERIAL DE COPA E COZINHA PARA O CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA NA CIDADE DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;754,75;;Compra Comum;;
144 - 2018;29/03/2018;AQUISIÇÃO DE MATERIAL DE PROTEÇÃO E SEGURANÇA PARA USO DAS GUARNIÇÕES DO CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA NA CIDADE DE CAMBOIRIÚ;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;582,00;;Compra Comum;;
143 - 2018;29/03/2018;AQUISIÇÃO DE COPOS DE ÁGUA DESTINADOS AOS SERVIDORES PÚBLICOS QUE ESTARÃO NA COORDENAÇÃO DOS EVENTOS DA MUNICIPALIDADE DE 2018.;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;JONATHAN JOAO DREHMER DALMAS;;678,00;;Compra Comum;;
142 - 2018;29/03/2018;AQUISIÇÃO DE MATERIAIS ELETRÔNICO, QUE SERÃO UTILIZADOS PARA BACK-UP DOS DOCUMENTOS EMITIDOS PARA ESTA CONTROLADORIA-GERAL.;CONTROLADORIA;SOMADATTA INFORMATICA LTDA - EPP;;2.022,30;;Compra Comum;;
141 - 2018;29/03/2018;AQUISIÇÃO DE MUDAS DE PLANTAS, SENDO NECESSÁRIO PARA MANUTENÇÃO DAS PRAÇAS E ÁREAS PÚBLICAS DO MUNICÍPIO DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;MARLENE VOSGERAU BODENMULLER;;4.400,00;;Compra Comum;;
140 - 2018;29/03/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A REALIZAÇÃO DE SONDAGEM E RECONHECIMENTO PARA CARACTERIZAÇÃO DO SUBSOLO DISTRIBUÍDOS EM DOIS PONTOS, DETERMINAÇÃO DO NÍVEL DO LENCOL FREÁTICO, PROFUNDIDADES E RESISTÊNCIAS DAS CAMADAS A CADA METRO COM SUA REPRESENTAÇÃO GRÁFICA PARA O IMÓVEL LOCALIZADO NA AV. RIO TEIXEIRA ESQUINA COM A RIO BONITO NO BAIRRO RIO PEQUENO - PROJETO CONSTRUÇÃO CREAS;SECRETARIA DE PLANEJAMENTO URBANO;SOLOGEO SONDAGEM E TOPOGRAFIA LTDA;;2.000,00;;Compra Comum;;
139 - 2018;29/03/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA MANUTENÇÃO DO PAÇO MUNICIPAL;SECRETARIA DE ADMINISTRAÇÃO;ENGELEC MATERIAIS ELETRICOS LTDA;;2.670,00;;Compra Comum;;
138 - 2018;29/03/2018;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS QUE SERÃO UTILIZADOS PARA ENCONTRO EDUCATIVOS E FESTIVOS, DESTINADO AS AGRICULTORAS DO MUNICÍPIO DE CAMBORIU AO LONGO DO ANO DE 2018.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;MERCADO CARDOSO & LEMKE LTDA - ME;;1.678,48;;Compra Comum;;
137 - 2018;29/03/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO AQUISIÇÃO DE PEÇAS PARA SUBSTITUIÇÃO/ MANUTENÇÃO DA MOTO HONDA PLACAS MGS 6804, DESTA SECRETARIA;SECRETARIA DE PLANEJAMENTO URBANO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;660,00;;Compra Comum;;
136 - 2018;29/03/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A MANUTENÇÃO DA MOTO HONDA PLACAS MGS 6804, DESTA SECRETARIA.;SECRETARIA DE PLANEJAMENTO URBANO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;50,00;;Compra Comum;;
135 - 2018;29/03/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A MANUTENÇÃO DA HONDA PLACAS MHU 7984;SECRETARIA DE PLANEJAMENTO URBANO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;100,00;;Compra Comum;;
134 - 2018;29/03/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO AQUISIÇÃO DE PEÇAS PARA SUBSTITUIÇÃO/MANUTENÇÃO DA MOTO HONDA PLACAS MHU 7984, DESTA SECRETARIA.;SECRETARIA DE PLANEJAMENTO URBANO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;507,00;;Compra Comum;;
133 - 2018;28/03/2018;AQUISIÇÃO DE IMPRESSORA MULTIFUNCIONAL, MANOCROMÁTICA PARA USO DO CORPO DE BOMBEIROS MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;CONTABILISTA - PAPELARIA E INFORMATICA LTDA;;2.750,00;;Compra Comum;;
132 - 2018;28/03/2018;AQUISIÇÃO DE BATERIA 100 AMP PARA CARRO KIA BONGO CAMINHÃO PLACA MIQ2633, PERTENCENTE A SECRETARIA DE AGRICULTURA, SENDO QUE PRECISAMOS TROVAR URGENTE, COMEÇOU A FALHAR E CORREMOS O RISCO DE NÃO CONSEGUIRMOS LIGAR PREJUDICANDO O ANDAMENTO DOS SERVIDORES PRESTADOS PELA SECRETARIA;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;ALVES E ALVES AUTO ELETRICA;;440,00;;Compra Comum;;
131 - 2018;22/03/2018;AQUISIÇÃO DE MATERIAL (TOLDOS) PARA SUBSTITUIÇÃO DE FOLHAS QUEBRADAS COM FORTES CHUVAS OCORRIDAS NO MES DE 01/2018, AS QUAIS SERVEM DE ABRIGO PARA AS VIATURAS POLICIAIS DA DELEGACIA DE POLÍCIA DE CAMBORIU/CITRAN;SECRETARIA DE ADMINISTRAÇÃO;JADILANIA CRESTANI DA SILVA - ME;;2.700,00;;Compra Comum;;
130 - 2018;22/03/2018;AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO DOS BANHEIROS DO PAÇO MUNICIPAL;SECRETARIA DE ADMINISTRAÇÃO;PNS MATERIAIS ELÉTRICOS LTDA ME;;223,48;;Compra Comum;;
129 - 2018;22/03/2018;AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO DOS BANHEIROS DO PAÇO MUNICIPAL.;SECRETARIA DE ADMINISTRAÇÃO;J. I. AMARAL - ME;;21,60;;Compra Comum;;
128 - 2018;22/03/2018;AQUISIÇÃO DE MATERIAIS PARA SEREM UTILIZADOS PELOS FUNCIONÁRIOS DESTA SECRETARIA DURANTE EVENTOS CLIMATICOS, E ASSIM AUXILIAR AS FAMÍLIAS ATINGIDAS;GABINETE DO PREFEITO;ROGERIO DA SILVA JUNIOR 07823647990;;490,00;;Compra Comum;;
127 - 2018;22/03/2018;AQUISIÇÃO DE FERRAMENTAS PARA SEREM UTILIZADOS PELOS FUNCIONÁRIOS DESTA SECRETARIA DURANTE O EVENTOS CLIMATICOS, E ASSIM AUXILIAR AS FAMÍLIAS ATINGIDAS.;GABINETE DO PREFEITO;ROGERIO DA SILVA JUNIOR 07823647990;;490,00;;Compra Comum;;
126 - 2018;20/03/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA MANUTENÇÃO DO PAÇO MUNICIPAL;SECRETARIA DE ADMINISTRAÇÃO;PNS MATERIAIS ELÉTRICOS LTDA;;18,46;;Compra Comum;;
125 - 2018;20/03/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA MANUTENÇÃO DO PAÇO MUNICIPAL.;SECRETARIA DE ADMINISTRAÇÃO;ROSSI MATERIAIS ELETRICOS LTDA;;51,50;;Compra Comum;;
124 - 2018;20/03/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA MANUTENÇÃO DO PAÇO MUNICIPAL;SECRETARIA DE ADMINISTRAÇÃO;BELING & SOUZA LTDA - INSTALADORA PALESTINA;;351,74;;Compra Comum;;
123 - 2018;16/03/2018;AQUISIÇÃO DE MATERIAL PARA REFORMA DA CASA D ANTIGO ENDEREÇO DO CONSELHO TUTELAR;SECRETARIA DE ADMINISTRAÇÃO;DECORTEC TINTAS LTDA;;353,90;;Compra Comum;;
122 - 2018;16/03/2018;AQUISIÇÃO DE ARQUIVO DE AÇO PARA DOCUMENTOS E PROCESSOS TRAMITADOS PELO CONSELHO TUTELAR;SECRETARIA DE ADMINISTRAÇÃO;RENATO MARCON;;1.200,00;;Compra Comum;;
121 - 2018;16/03/2018;PRESTAÇÃO DE SERVIÇO PARA INSTALAÇÃO DE RAMAL, POR CONTA DA MUDANÇA DE ENDEREÇO DA CASA DO CONSELHO TUTELAR;SECRETARIA DE ADMINISTRAÇÃO;CESAR PEREIRA -ME;;480,00;;Compra Comum;;
120 - 2018;16/03/2018;AQUISIÇÃO DE CARIMBOS PARA O CITRAN DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;AIRTON PADILHA PEREIRA ME;;380,00;;Compra Comum;;
119 - 2018;16/03/2018;PEÇA PARA INSTALAÇÃO E DISTRIBUIÇÃO DE INTERNET PARA O CONSELHO TUTELAR;SECRETARIA DE ADMINISTRAÇÃO;SOMADATTA INFORMATICA LTDA - EPP;;465,00;;Compra Comum;;
118 - 2018;16/03/2018;SERVIÇO PARA MANUTENÇÃO DE PORTAS DANIFICADAS DO CITRAN DE CAMBORIU/ DELEGACIA DE POLICIA;SECRETARIA DE ADMINISTRAÇÃO;PERFAB ALUMINIO LTDA - EPP;;400,00;;Compra Comum;;
116 - 2018;15/03/2018;AQUISIÇÃO DE LÂMPADAS PARA SER TROCADAS PELAS QUE ESTÃO QUEIMADAS NA SECRETARIA DE AGRICULTURA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;465,70;;Compra Comum;;
115 - 2018;15/03/2018;MANUTENÇÃO, CALIBRAÇÃO E VERIFICAÇÃO ANUALMENTE PELO IMETRO EM EMPRESA ESPECIALIZADA NA FABRICAÇÃO E FORNECIMENTO DE PELAS E SERVIÇOS PARA O ETILÔMETRO (BAFÔMETRO) BAF 300 Nº 2764 DE PROPRIEDADE DA POLICIA MILITAR. CONFORME ART. 25, I, LEI 8666/90. ENCONTRADA EPENAS UMA EMPRESA PARA TAL FIM, CONFORME ORÇAMENTO EM ANEXO. O REFERIDO EQUIPAMENTO É DE USO OBRIGATÓRIO PARA A CONSTATAÇÃO DE INFRAÇÕES RELACIONADAS Á CONDUÇÃO DE VEÍCULO SOB EFEITO DE ÁLCOOL, DE CARATER INQUESTIONÁVEL, PARA SER EMPREGADO PELA 1º/12º BPM, COM SEDE EM CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;ELEC INDÚSTRIA COM.EQUIPAMENTOS MEDIÇÃO LTDA-EPP;;2.058,00;;Compra Comum;;
114 - 2018;15/03/2018;SERVIÇO DE REVISÃO DA VIATURA AAT263, FIAT PALIO PLACAS OKF3699 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. PEÇAS SOS SISTEMA DE FREIO, NECESSIDADE IDENTIFICADA DURANTE A MANUTENÇÃO OBRIGATÓRIA DE 20.000KM, A FIM DE ASSEGURAR A GARANTIA PELA CONCESSIONÁRIA, CONFORME INCISO XVII DO ART. 24 DA LEI 8666.93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;169,00;;Compra Comum;;
113 - 2018;15/03/2018;AQUISIÇÃO DE PEÇAS PARA A VIATURA AAT263, FIAT PALIO PLACAS OKF3699 PERTENCENTE AO PELOTÃO DE BOMBEIROS MILITAR DE CAMBORIU. PEÇAS SOS SISTEMA DE FREIO, NECESSIDADE IDENTIFICADA DURANTE A MANUTENÇÃO OBRIGATÓRIA DE 20.000KM, A FIM DE ASSEGURAR A GARANTIA PELA CONCESSIONÁRIA, CONFORME INCISO XVII DO ART. 24 DA LEI 8666.93;SECRETARIA DE ADMINISTRAÇÃO;GLOBO PLANALTO COMERCIO DE VEICULOS LTDA;;740,20;;Compra Comum;;
112 - 2018;15/03/2018;REVISÃO DE KILOMETRAGEM TT 4030 - MARCA NEW ROLLAND, SENDO QUE A EMPRESA AUTORIZADA EM NOSSA REGIÃO É AGROWENER COMERCIO DE MÁQIONAS E IMPLEMENTOS AGRÍCOLAS LTDA. SENDO ASSIM SE TORNA INDISPENSÁVEL A CONTRATAÇÃO DA MESMA VISANDO A GARANTIA DO VÉICULO.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;AGROWERNER COMERCIO DE MAQUINAS E IMPLEM AGRICOLAS;;434,00;;Compra Comum;;
111 - 2018;15/03/2018;REVISÃO KILOMETRAGEM TRATOR TT4030 - MARCA NEW ROLLAND, SENDO QUE A EMPRESA AUTORIZADA EM NOSSA REGIÃO É AGROWENER COMERCIO MÁQUINAS E IMPLEMENTOS AGRÍCOLAS LTDA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;AGROWERNER COMERCIO DE MAQUINAS E IMPLEM AGRICOLAS;;400,00;;Compra Comum;;
110 - 2018;15/03/2018;AQUISIÇÃO DE MATERIAIS ELÉTRICOS PARA UTILIZAÇÃO E INSTALAÇÃO NA REFORMA DA CASA ONDE SE INSTALAVA O CONSELHO TUTELAR.;SECRETARIA DE ADMINISTRAÇÃO;PNS MATERIAIS ELÉTRICOS LTDA ME;;468,23;;Compra Comum;;
109 - 2018;15/03/2018;AQUISIÇÃO DE MATERIAIS PARA REPOSIÇÃO E CONSEVARÇÃO DAS INTALAÇÕES ELÉTRICAS E ELETRÔNICAS DA 1ª CIA DE POLICIA MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;2.264,00;;Compra Comum;;
108 - 2018;15/03/2018;AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO DE PORTAS E JANELAS DANIFICADAS DO CITRAN DE CAMBORIU/ DELEGACIA;SECRETARIA DE ADMINISTRAÇÃO;PERFAB ALUMINIO LTDA - EPP;;610,00;;Compra Comum;;
107 - 2018;15/03/2018;AQUISIÇÃO DE MATERIAL ESPECÍFICO PARA IMPRESSORA TÉRMICA PORTÁTIL, UTILIZADO DIARIAMENTE PARA O SISTEMA MOBILE PMSC NO SERVIÇO DE RÁDIO PATRULHA E TRÂNSITO DA 1ª COMPANHIA DE POLICIA MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;ART'S ETIQUETAS LTDA - EPP;;1.320,00;;Compra Comum;;
106 - 2018;15/03/2018;AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO DE ARMAMENTOS DA 1ª CIA DE POLICIA MILITAR DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;700,08;;Compra Comum;;
105 - 2018;14/03/2018;MANUTENÇÃO DO VEÍCULO MODELO FIAT/SIENA ESSENCE 1.6 PLACA MMK 5864 ANO 2014/2015 DA SECRETARIA DE ADMINISTRAÇÃO;SECRETARIA DE ADMINISTRAÇÃO;CLAUDINEI DA SILVA NDJ ME;;;;Compra Comum;;
104 - 2018;14/03/2018;IMPRESSÃO DE AUTO DE RETIRADA DE VEÍCULO DE CIRCULAÇÃO UTILIZADOS PELOS POLICIAIS MILITARES DA 1ª COMPANHIA DE POLICIA DE CAMBORIU DURANTE O SERVIÇO DE RADIO PATRULHA E TRÂNSITO;SECRETARIA DE ADMINISTRAÇÃO;S.S. GRÁFICA LTDA - ME;;2.490,00;;Compra Comum;;
103 - 2018;13/03/2018;MATERIAL DE EXTREMA NECESSIDADE PARA O BOM FUNCIONAMENTO DESTA SECRETARIA;SECRETARIA DE FINANÇAS;FIRST TRADE COMPANY LTDA ME;;271,70;;Compra Comum;;
